EVENT CATEGORY	EVENT GROUP	EVENT SUBGROUP	EVENT TYPE	PLACE	EVENT START DATE	COMMENTS	FATALITIES	INJURED / INFECTED	EVACUATED	ESTIMATED TOTAL COST	NORMALIZED TOTAL COST	EVENT END DATE	FEDERAL DFAA PAYMENTS	PROVINCIAL DFAA PAYMENTS	PROVINCIAL DEPARTMENT PAYMENTS	MUNICIPAL COSTS	OGD COSTS	INSURANCE PAYMENTS	NGO PAYMENTS	UTILITY - PEOPLE AFFECTED	MAGNITUDE
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	30/08/1956 12:00:00 AM	Southern Ontario, August 30-31, 1956. Due to flooding, several roads were closed and damage occurred along the Thames and Grand Rivers as well in the Toronto area.	0	0	0			31/08/1956 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Nova Scotia	03/01/1956 12:00:00 AM	Nova Scotia, January 3-18, 1956. A prolonged warm spell from the month of December 1955-Feb 1956, caused province-wide flooding from snowmelt and ice jams; the major flooding occurred from Jan. 318, during a period referred to as the longest January thaw to date; 100 bridges were destroyed across the province.	0	0	0			18/01/1956 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	Nicolet QC	12/11/1955 12:00:00 AM	Nicolet QC, November 12, 1955. 3 dead, 2000 evacuated, 6 injured; a landslide carried six buildings into a huge crater on the shore of the Nicolet River.	3	6	2000			12/11/1955 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Avalanche	Lake Louise AB	11/07/1955 12:00:00 AM	Mount Temple, Lake Louise AB, July 11, 1955. 7 skiers killed; inexperienced climbers were swept away by an avalanche.	7	0	0			11/07/1955 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Quebec and Ontario	01/07/1955 12:00:00 AM	Ontario and Québec, July-August 1955. More than 100 forest fires burned longer than four weeks; on August 4 there were 150 fires.	0	0	0	24402775	10384159.6	31/08/1955 12:00:00 AM			23207778	1194997				0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Manitoba and Saskatchewan	01/01/1955 12:00:00 AM	Manitoba and Saskatchewan, 1955. Most damage to rural areas. Roads and bridges were washed out or damaged and sowing of fields was inhibited due to water cover.	0	0	0			01/01/1955 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Toronto ON	14/10/1954 12:00:00 AM	Toronto Ontario, October 14-15, 1954.  Hurricane Hazel; 81 dead; 7472 people (based on 1,868 families of 4) left homeless; winds reached 124 km/h; as much as 111 mm of rain fell in 12 hours in some areas; over 210 mm of rain fell over two days, causing severe flooding in the flood-plain regions (low lying areas) of the Don and Humber Rivers and the Etobicoke and Mimico Creeks; the area hit hardest by the storm (in terms of rainfall) was Brampton and the worst flooding occurred along the Humber River; it was the most severe flooding in the Toronto area in 200 years. 20 bridges were destroyed or damaged beyond repair; the Humber River in Weston rose 6 metres, sweeping away a full block of homes on Raymore Drive, and killing 32 residents; a trailer park in Woodbridge was flooded and destroyed, killing 20 people. Flooding was widespread, from Lake Simcoe to Toronto and from the Niagara region to Lake St. Clair.	81	0	7472			15/10/1954 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	New Brunswick	11/09/1954 12:00:00 AM	New Brunswick, September 11-13, 1954. Hurricane "Edna" caused severe damage and flooding.	0	0	0			13/09/1954 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Air	Moose Jaw SK	07/04/1954 12:00:00 AM	Moose Jaw SK, April 7, 1954. A TransCanada Airlines aircraft collided with an Royal Canadian Air Force trainer.	37	0	0			07/04/1954 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	15/02/1954 12:00:00 AM	Southern Ontario, February 15-18, 1954. Communities on the shores of Lakes Ontario, Erie and Huron, including Toronto, experienced flooding; the Thames and Grand Rivers also experienced flooding which disrupted utilities and forced roads and businesses to close.	0	0	0			18/02/1954 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	White Point Beach NS	30/01/1954 12:00:00 AM	White Point Beach NS, January 30, 1954. A tornado producing hail and lightning hit the coast of Nova Scotia near Liverpool.	0	0	0			30/01/1954 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Heat Event	Toronto ON	24/08/1953 12:00:00 AM	Toronto ON, August 24 - September 5, 1953; 1 person died of heat-related fever; 186 cases of heat prostration and injury were reported at the Canadian National Exhibition.  Water consumption levels reached record levels of 182 million gallons for Toronto area on September 2.	1	186	0			05/09/1953 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Central Alberta	14/07/1953 12:00:00 AM	Central Alberta, July 14, 1953. Thousands of birds were crushed by golf-ball sized hailstones as a hailstorm moved across central Alberta, affecting an area of 1800 sq. km.	0	0	0			14/07/1953 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Sarnia ON	21/05/1953 12:00:00 AM	Sarnia ON, May 21, 1953. 7 dead, 40 injured and 500 left homeless.	7	40	500			21/05/1953 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storm - Unspecified / Other	Lake Superior ON	01/01/1953 12:00:00 AM	Lake Superior ON, 1953. Freighter sinks in high winds in Lake Superior: 17 dead.	17	0	0			01/01/1953 12:00:00 AM								0	0
Disaster	Natural	Biological	Epidemic	Across Canada	01/01/1953 12:00:00 AM	Across Canada, 1953. 481 dead; polio affected more than 8000 Canadians.	481	8000	0			31/12/1953 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Eastend SK	01/04/1952 12:00:00 AM	Eastend SK, April 1952. In spring 1952, the Frenchman River flooded the town of Eastend; the flood was a result of a well-above-normal snowpack in the Cypress Hills and below-normal spring temperatures.	0	0	0			01/05/1952 12:00:00 AM								0	0
Incident	Technology	Explosion	Non-Residential	Pictou County NS	14/01/1952 12:00:00 AM	Pictou County NS, January 14, 1952. 19 dead: a gas explosion in the MacGregor Mine killed 19 workers who stayed behind to block off the dangerous area.	19	0	0			14/01/1952 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Stephenville Crossing, Summerside NL	19/12/1951 12:00:00 AM	Stephenville Crossing, Summerside NL, December 19, 1951.  A severe storm hit Stephenville Crossing and Summerside, with winds gusting at 180 km/h and flooding the towns. The rail bed was washed-out and the rail line closed for three days. The train station was flooded as were major roads that were covered under 1.2 m of water. A sawmill at Summerside was destroyed, 15 telegraph poles were blown down, fishermen lost boats and gear, and thousands of lobsters washed ashore.	0	0	600			19/12/1951 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Coniston ON	09/02/1951 12:00:00 AM	Coniston ON, February 9, 1951. 9 dead, 31 injured: a bus collided with a CPR passenger train at the Coniston railway crossing near Sudbury.	9	31	0			09/02/1951 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Bow River BC	01/01/1951 12:00:00 AM	Bow River BC, 1951.	0	0	0			01/01/1951 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Sumas and Chilliwack BC	01/01/1951 12:00:00 AM	Sumas and Chilliwack BC, February 1951. Floods caused the evacuation of 94 families (assume a family of 4).	0	0	376			01/01/1951 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Canoe River BC	21/11/1950 12:00:00 AM	Canoe River, BC, November 21, 1950.  A special force troop train westbound, and an eastbound train collided head on at Canoe River.	21	53	0			21/11/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Regina SK	01/11/1950 12:00:00 AM	Regina SK, November 1950.	0	0	0			01/11/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Nova Scotia	01/08/1950 12:00:00 AM	Nova Scotia, August 1950. A hurricane-like storm hit Nova Scotia in August, 1950, and caused flooding throughout the province.	0	0	0			01/08/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Winnipeg MB	05/05/1950 12:00:00 AM	Winnipeg MB, May to June 1950. 1 dead, 107,000 evacuated (one-third of the city), 5000 buildings damaged. A major flood occurred April - June 1950; a heavy snow cover caused the Red River to reach flood levels by April 22, 1950; a heavy rainfall in early May caused the river to stay above flood stage for 51 days; the water reached 4.6 metres in depth in low lying areas; 60 000 people were forced to evacuate as one tenth of the city of Winnipeg was covered in water; a volunteer pump operator drowned.	1	0	107000			15/06/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Saint John River Basin NB	20/04/1950 12:00:00 AM	Saint John River basin NB, April 20, 1950. Heavy rains and spring breakup caused ice jams and consequent flooding of several rivers throughout New Brunswick.	0	0	0			20/04/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	04/04/1950 12:00:00 AM	Southern Ontario, April 4-8, 1950. Widespread flooding across southern Ontario resulted in the closing of several roads.	0	0	0			08/04/1950 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	24/03/1950 12:00:00 AM	Southern Ontario, March 24-29, 1950. Widespread flooding affected southern Ontario including Toronto; many roads were flooded, and businesses were closed along the Grand River.	0	0	0			29/03/1950 12:00:00 AM								0	0
Incident	Technology	Fire	Non-Residential	Rimouski and Cabano, QC	01/01/1950 12:00:00 AM	Rimouski and Cabano QC, 1950.	0	0	0			01/01/1950 12:00:00 AM								0	0
Incident	Technology	Fire	Vehicle	Toronto ON	17/09/1949 12:00:00 AM	Toronto ON, September 17, 1949. 118 dead; a blaze, believed to have been started in a closet,  broke out on the Canada Steamship Lines ship "Noronic"; the ship was docked in Toronto Harbour at the time of the fire.	118	0	0			17/09/1949 12:00:00 AM								0	0
Incident	Conflict	Terrorist	Bomb Attacks	Saint-Joachim QC	09/09/1949 12:00:00 AM	Saint-Joachim QC, September 9, 1949. A Québec Airways DC-3 was sabotaged with a  the plane exploded and crashed, killing 32: the saboteur, J.A. Guay and his two accomplices were later convicted and hanged.	32	0	0			09/09/1949 12:00:00 AM								0	0
Disaster	Natural	Geological	Earthquake	Off Queen Charlotte Islands BC	22/08/1949 12:00:00 AM	Offshore Queen Charlotte Islands BC, August 22, 1949. Widely felt over a large area of western North America; this was Canada's largest and one of the world's greatest earthquakes; there was some damage on the Queen Charlotte Islands; chandeliers in Jasper, Alberta, were observed to sway.  Magnitude: 8.1	0	0	0			22/08/1949 12:00:00 AM								0	8
Disaster	Natural	Meteorological - Hydrological	Flood	St. John's NL	14/09/1948 12:00:00 AM	St. John's NL, September 14, 1948. Torrential rains caused at least three houses to collapse when hit by mudslides; in one area it was necessary to rescue residents by boat, one child died.	1	0	0			14/09/1948 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Fraser River BC	31/05/1948 12:00:00 AM	Fraser River BC, May 31, 1948. The flood ripped apart dikes;  almost 10% of the area of the Fraser Valley (22,257 ha) was flooded; ten people died and 9000 were left homeless; 3000 buildings were destroyed and eighty-two bridges were washed out.  Flood damage spread 200 km in area. The Canadian Red Cross (CRC) gave aid to 3800 of the 16000 evacuees; 33000 volunteers worked on dikes.	10	0	16000			31/05/1948 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Mississagi ON	01/05/1948 12:00:00 AM	Mississagi/Chapleau (a First Nation reserve) ON, May to late October 1948. 261,017 ha destroyed.	0	0	0			31/10/1948 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Red Deer River AB	21/04/1948 12:00:00 AM	Red Deer River AB, April 21, 1948. Hundreds of families from Newcastle, Wayne, Rosedale, and Drumheller were evacuated by the Canadian Red Cross when the Red Deer River flooded.	0	0				21/04/1948 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	16/03/1948 12:00:00 AM	Southern Ontario, March 16-22, 1948. Communities in the Lake St. Clair region, southwestern Ontario (on Maitland, Grand and Thames Rivers), southcentral Ontario (Toronto area) and in southwestern Ontario (the Rideau River) suffered from flood damages; transportation systems were closed due to flooding, and businesses were closed; dams were damaged on the Maitland and Thames Rivers and in Toronto.	0	0	0			16/03/1948 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Dugald MB	01/09/1947 12:00:00 AM	Dugald MB, September 1, 1947. About 30 km east of Winnipeg: 31 dead, many injured: a CNR passenger train collided with a special CNR campers train filled with people returning from vacation.	31	0	0			01/09/1947 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Bristol NB	30/04/1947 12:00:00 AM	Bristol NB, April 30, 1947. Heavy rains, mild temperatures and snowmelt contributed to a heavy runoff and overflow of the Saint John River, New Brunswick;  two people were killed in a train wreck near Bristol as a result of the track being undermined by the Saint John River.	2	0	100			30/04/1947 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern ON	05/04/1947 12:00:00 AM	Southern ON, April 5-12, 1947. Widespread flooding occurred on several river systems (including the Thames, Grand, Rideau, Credit and Saugeen Rivers) as well as in the Lake St. Clair and Lake Nipissing regions. Several roads and railways were forced to close due to flooding; utilities and businesses were also disrupted.	0	0	0			12/04/1947 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Elgin NB	05/02/1947 12:00:00 AM	Elgin NB, February 5, 1947. Rain, mild temperatures and ice jams caused flooding of large sections of Kings County and surrounding area, New Brunswick; two children were swept away and drowned in Sheffar Brook, near Elgin, Albert County.	2	0	0			05/02/1947 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Prairie Provinces	30/01/1947 12:00:00 AM	Prairie Provinces, January 30 - February 8, 1947. A blizzard raged for 10 days from Winnipeg to Calgary; the railway called it the worst storm in Canadian rail history; one train was buried in a snow drift 1 km long and 8 m deep.	0	0	0	0	0	08/02/1947 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Air	Estevan SK	15/09/1946 12:00:00 AM	Estevan SK, September 15, 1946. A Royal Canadian Air Force (RCAF) transport plane crashed near Estevan killing 20 RCAF personnel.	20	0	0			15/09/1946 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Okanagan Valley BC	29/07/1946 12:00:00 AM	Okanagan Valley (near Penticton) BC, July 29, 1946.  The 15 minute hailstorm, with hailstones 5 cm in diameter, causes extensive apple and pear crop damage.	0	0	0			29/07/1946 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Tornado	Windsor to Tecumseh ON	17/06/1946 12:00:00 AM	Windsor to Tecumseh ON, June 17, 1946; 17 dead, hundreds injured; 400 homes damaged; 150 barns and farm buildings destroyed.	17	100	0			17/06/1946 12:00:00 AM								0	0
Incident	Technology	Fire	Non-Residential	Dartmouth NS	18/07/1945 12:00:00 AM	Dartmouth NS, July 18, 1945. Naval Magazine.	0	0	0			18/07/1945 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Toronto ON	11/12/1944 12:00:00 AM	Toronto ON, December 11, 1944. A blizzard produced 57 cm of snow over two days; accompanying strong winds caused huge drifts which paralysed the city for days.  There were no home deliveries of milk, ice or fuel.  Of major concern, factories producing war ammunitions had to close temporarily.  In all, 21 people died, 13 from overexertion.	21	0	0			12/12/1944 12:00:00 AM								0	0
Incident	Conflict	Arson	Non-Residential	British Columbia	01/01/1944 12:00:00 AM	British Columbia, 1944. One person was killed during an arson attack carried out by the radical Doukhobor sect, the Sons of Freedom.	1	0	0			01/01/1944 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Air	Saint-Donat QC	19/10/1943 12:00:00 AM	Saint-Donat QC, October 19, 1943. 24 dead: a Liberator bomber crashed: many of the passengers were going on leave: the wreckage was not located until June, 1946.	24	0	0			19/10/1943 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Aldershot ON	10/09/1943 12:00:00 AM	Aldershot ON, September 10, 1943. 12 killed, two injured: a CPR passenger train at Aldershot crossing near Hamilton collided with a Canada Coach Lines bus, splitting the bus in two.	12	2	0			10/09/1943 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Almonte ON	27/12/1942 12:00:00 AM	Almonte ON, December 27, 1942. During a sleet storm on Sunday, December 27, a troop train pulled by a massive 2800-class locomotive smashed into the rear of a packed passenger train standing in darkness at the Canadian Pacific Railway station, killing 36 and injuring 155.	36	155	0			27/12/1942 12:00:00 AM								0	0
Incident	Conflict	Arson	Residential	St. John's NL	12/12/1942 12:00:00 AM	St. John's NL, December 12, 1942. 99 dead, 100 seriously injured, mostly Canadian military; an arsonist set fire to the packed Knights of Columbus Hostel; exits were restricted, all doors opened inwards, and there was no emergency lighting system.	99	100	0			12/12/1942 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Charlottetown PE	22/09/1942 12:00:00 AM	Charlottetown PE, September 22, 1942. A storm, remnants of a dissipating hurricane, left 163.8 mm of rain and damages in the city of Charlottetown.	0	0	0			22/09/1942 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Newfoundland, off coast	01/01/1942 12:00:00 AM	Newfoundland, 1942. 203 dead; three U.S. navy ships, the destroyers "Wilkes" and "Truxton" and the supply ship "Pollux", went off course during a blizzard and crashed into the rocks near St. Lawrence at the entrance to Placentia Bay: the ships had been unable to check their position as they had been ordered to keep radio silence: the "Wilkes" floated off the rocks but the other two ships were pounded to pieces: the rescue efforts of the villagers of St. Lawrence saved the lives of many sailors: as a gesture of gratitude, the U.S. government constructed a hospital in the town which was closed down by the Newfoundland government in 1989.	203	0	0			01/01/1942 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Hurricane / Typhoon / Tropical Storm	Southwestern Ontario	25/09/1941 12:00:00 AM	Southwestern Ontario, September 25, 1941. An unnamed hurricane struck southwestern Ontario; winds were reported to reach 130 km/h in London.	0	0	0			25/09/1941 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Burin Peninsula, St. John's and Little St. Lawrence NL	02/08/1941 12:00:00 AM	Burin Peninsula, St. John's and Little St. Lawrence NL, August 2, 1941. Experienced the effects of flooding caused by torrential rains;  two employees of United Towns Electric Company were drowned when a dam broke; the total rainfall was reported to be 98.3 mm for a 66-hour period.	2	0	0			02/08/1941 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Gogama ON	14/05/1941 12:00:00 AM	Gogama ON, May 14 - June 15, 1941. No dead, 133,827 ha destroyed.	0	0	0			15/06/1941 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Prairie Provinces	14/03/1941 12:00:00 AM	Prairie Provinces, March 14, 1941. A severe blizzard producing a storm called an "Alberta Low" lasted 7 hours and produced winds exceeding 100 km/h; the storm caused 76 deaths in the southern parts of the Prairie provinces and the northern U.S.	76	0	0	0	0	14/03/1941 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Great Lakes: Lake Ontario	01/01/1940 12:00:00 AM	Ontario, 1940. Three Great Lakes ships wrecked in storm, killing 69.	69	0	0			01/01/1940 12:00:00 AM								0	0
Incident	Technology	Fire	Residential	Nova Scotia	02/02/1939 12:00:00 AM	Nova Scotia, February 2, 1939. Queen Hotel Fire.	0	0	0			02/02/1939 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Saskatchewan	01/01/1939 12:00:00 AM	Saskatchewan, 1939.	0	0	0			01/01/1939 12:00:00 AM								0	0
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Sydney Mines, Cape Breton NS	06/12/1938 12:00:00 AM	Sydney Mines, Cape Breton NS, December 6, 1938. 20 dead. A chain of small cars known as a "man rake" was being lowered into the shaft when a cable snapped sending the cars, laden with more than 200 men, crashing to the bottom.	20	0	0			06/12/1938 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Rainy River and Dance Township ON	10/10/1938 12:00:00 AM	Dance Township ON, October 10-15, 1938; 17 dead, 155 homeless, 37,230 ha of forest were destroyed.  The fire was caused by the settlers by brush fires.  The fire got out of control due to the lack of water in the area at the time.	17	0	155			15/10/1938 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	St-Gregoire-de-Montmercy QC	01/09/1938 12:00:00 AM	St-Gregoire-de-Montmercy QC, September 1, 1938. 4 dead; 12 injured; landslide caused by heavy rains destroyed houses.	4	12	0			01/09/1938 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	26/04/1937 12:00:00 AM	Southern Ontario, April 26-28, 1937. Especially on the Thames River in London; the river flooded leaving 4000 people homeless; roads and railways were flooded and businesses were closed.	0	0	4000			28/04/1937 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	13/01/1937 12:00:00 AM	Southern Ontario, January 13-14, 1937. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close.	0	0	0			14/01/1937 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Nova Scotia	01/09/1936 12:00:00 AM	Nova Scotia, September 1936. A hurricane-like storm hit Nova Scotia in September 1936, and caused flooding throughout the province.	0	0	0			01/09/1936 12:00:00 AM								0	0
Incident	Technology	Transportation accident	Rail	Louiseville QC	15/08/1936 12:00:00 AM	Louiseville QC, August 15, 1936. 22 dead, 22 injured: a 16-car freight train smashed into a farm truck carrying more than 40 people from a Friday night political rally.	22	22	0			15/08/1936 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Wildfire	Northern Saskatchewan	13/07/1936 12:00:00 AM	Northern Saskatchewan, July 1936. During the week before July 20, 194 sq. km of Saskatchewan timberland burned.						19/07/1936 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Heat Event	Across Canada	05/07/1936 12:00:00 AM	Across Canada, July 5-17, 1936. A two-week heat wave starting on July 5, 1936; greater than 32°C in western and central Canada; from southern Saskatchewan to the Ottawa Valley temperatures were higher than 32°C for one and a half weeks; St. Albert, Manitoba reached 44.4°C and Atikokan, Ontario hit 42.2°C; 1,180 people died across Canada; a severe drought also occurred in 1936 (see 1931.002);  120.7 sq km of Saskatchewan timberland burned (see 1936.004).	1180	0	0			17/07/1936 12:00:00 AM								0	0
Incident	Technology	Infrastructure failure	Manufacturing / Industry	Moose River NS	12/04/1936 12:00:00 AM	Moose River NS, April 12-23, 1936. Three men were trapped in a gold mine: only two of the men survived.	1	0	0			23/04/1936 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	New Brunswick	16/03/1936 12:00:00 AM	New Brunswick, March 16-25, 1936. Snowmelt, ice jams and heavy rainfall caused flooding across New Brunswick and resulted in severe damage; 22 ice jams were reported along the Saint John River basin, some extending 10 km upstream; a major ice jam formed on the Fredericton public wharf and across the Saint John River near the Fredericton Highway Bridge; 15 bridges were partially or completely destroyed; roads and railways were inundated; numerous homes, businesses and barns were flooded or destroyed; lumber mill stock and livestock were lost.	0	0	0			25/03/1936 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Southern Ontario	10/03/1936 12:00:00 AM	Southern Ontario, March 10-12, 1936. Widespread flooding caused damages and flooded roads and railways; flooding forced several businesses to close; several dams were also damaged.	0	0	0			12/03/1936 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	Newfoundland	25/08/1935 12:00:00 AM	Newfoundland, August 25, 1935. Villages destroyed; 50 people left dead in the wake of a severe storm.	50	0	0			25/08/1935 12:00:00 AM								0	0
Incident	Conflict	Civil Incident	Rioting	Regina SK	01/06/1935 12:00:00 AM	Regina SK, June-July 1935. One person was killed on July 1 during a clash between police and 1000 unemployed workers taking part in the "On to Ottawa" trek.	1	0	0			01/07/1935 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Nova Scotia	10/01/1935 12:00:00 AM	Nova Scotia, January 10-15, 1935.  Nova Scotia was hit hard by flooding caused by unusually high temperatures, torrential rains and ice jams.  Some rivers reached levels 8 to 14 metres higher than normal.  Dykes and highways were damaged, 25 bridges were destroyed, homes and businesses were inundated, homes were evacuated, roads were flooded and farm animals drowned.			2			15/01/1935 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Winter Storm	Manitoba	01/01/1935 12:00:00 AM	Manitoba, 1935. Record snowfall in Manitoba reached 51.8 cm in March, 1935.	0	0	0			01/01/1935 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	Plaster Rock NB	16/04/1934 12:00:00 AM	Plaster Rock NB, April 16-24, 1934. Continuous rainfall for several days, snowmelt and an ice jam 6.4 kilometres north of Plaster Rock, New Brunswick, contributed to extensive flood damage in the Saint John River Basin;  the counties of Sunbury and York were most affected.	0	0	0			24/04/1934 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Cold Event	Manitoba to Atlantic Canada	01/12/1933 12:00:00 AM	Eastern Canada, December 1933 - February 1934. A Cold Wave engulfed North America from Manitoba to the Atlantic coast.  Ice trapped fishing vessels off Nova Scotia, hospitals were jammed with frostbite victims and for only the second time in recorded history, Lake Ontario froze completely; 15 weather-related deaths in Ontario; communication systems were disrupted.	15	0	0			01/02/1934 12:00:00 AM								0	0
Disaster	Natural	Geological	Earthquake	Baffin Bay NU	20/11/1933 12:00:00 AM	Baffin Bay NU, November 20, 1933. The largest earthquake ever recorded inside the Arctic Circle.  Magnitude: 7.3	0	0	0			20/11/1933 12:00:00 AM								0	7
Disaster	Natural	Meteorological - Hydrological	Flood	Southern New Brunswick	25/10/1933 12:00:00 AM	Southern New Brunswick, October 25, 1933. Heavy autumn rainfall in southern New Brunswick caused extensive damage to roads, dams and bridges; seven stream drivers were swept to their death in Saint John county by the northwest branch of the Big Salmon River while trapped on a sand bar.	7	0	0			25/10/1933 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Flood	New Brunswick and Eastern Quebec	04/05/1933 12:00:00 AM	New Brunswick and Eastern Quebec, May 4, 1933. Snowmelt, heavy rains and ice jams contributed to flooding throughout New Brunswick and Eastern Québec;  three lives were lost in Blue River, Tracey Brook (near Kedgwick), and Edmundston.	3	0	0			04/05/1933 12:00:00 AM								0	0
Incident	Conflict	Civil Incident	Rioting	Estevan SK	08/09/1931 12:00:00 AM	Estevan SK, September 8-29, 1931. The miners of the Souris coal field walked off the job to reinforce demands for increased wages and improved working conditions; involved 22 coal operators and 600 miners; on September 29, some 300 to 400 miners and their families clashed with police, resulting in three deaths, 23 injuries, and a number of arrests.	3	23	0			29/09/1931 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Drought	Prairie Provinces	01/01/1931 12:00:00 AM	Prairie Provinces, 1931-1938. The "dirty thirties"; dust storms, plant rust, heat waves, grasshopper plagues and water shortages plagued western Canada for almost a decade causing immense social and economic hardship. It is estimated that 250,000 people left the area. For related deaths, see Heatwave of 1936 (1936.005).	0	0	0	0	0	01/01/1938 12:00:00 AM								0	0
Disaster	Natural	Geological	Landslide	Crerar ON	27/06/1930 12:00:00 AM	Crerar ON, June 27, 1930.  Slump of railway embankment; freight train derailed.	8	0	0			27/06/1930 12:00:00 AM								0	0
Disaster	Natural	Meteorological - Hydrological	Storms and Severe Thunderstorms	St. Lawrence River	26/06/1930 12:00:00 AM	St. Lawrence River, June 26, 1930. Lightning struck the bow of the "John B. King" drillship in the St. Lawrence River, igniting a store of dynamite aboard.  The explosion killed 30 people and injured 11 others.	30	11	0			26/06/1930 12:00:00 AM								0	0
