",date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade"
"1022,20210217,IA,275713,,1017619.0,,posNeg,1293332,235.0,,52.0,,20.0,,305238.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,5306,,,2021-02-17T00:00:00Z,2630380.0,298944.0,2317402.0,275713.0,,,,1295703.0,,,,108818.0,16843.0,91925.0,233113.0,54794.0,1270242.0,58175.0,19,466,1933,1293332,2399,1293332,,43,0,e46c789b465b54a9ddd11502079b03ebcb21ca0b,0,0,0,0,0,"
"1023,20210217,ID,167945,31432.0,488806.0,,totalTestsPeopleViral,625319,177.0,6933.0,38.0,1206.0,,,90300.0,2/16/2021 19:00,2021-02-16T19:00:00Z,02/16 14:00,1806,6933.0,,2021-02-16T19:00:00Z,1043924.0,,,136513.0,1589.0,217.0,,625319.0,,,,,,,,,78973.0,,16,462,2602,656751,2966,656751,,3,43,ba6db79e922e6a879aa8234057978c4314d41df9,0,0,0,0,0,"
"1024,20210217,IL,1166717,,,,totalTestsViral,17320814,1719.0,,375.0,,176.0,,,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,22224,,,2021-02-17T00:00:00Z,17320814.0,,,,20057.0,2167.0,,,,,,,,,,,,,17,1795,0,1166717,49937,1166717,,25,0,5814c89757f820b7c773090b3f14d6a0f1fe10b2,0,0,0,0,0,"
"1025,20210217,IN,651453,,2410555.0,,totalTestsViral,7624956,955.0,42086.0,193.0,7336.0,98.0,,,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,12250,42086.0,425451.0,2021-02-16T23:59:00Z,7624956.0,741642.0,,,11825.0,425.0,,3062008.0,,,,,,,,,,,18,923,3587,3062008,31115,3062008,,19,246,b44f7afb7059e75b7b0c422eff66491977a3fb76,0,0,0,0,0,"
"1026,20210217,KS,288717,,940581.0,,posNeg,1229298,300.0,9002.0,68.0,2432.0,34.0,411.0,,2/17/2021 10:00,2021-02-17T10:00:00Z,02/17 05:00,4521,9002.0,6137.0,2021-02-17T10:00:00Z,2382523.0,,,,,,,1229298.0,,,,,,,,,543223.0,,20,1267,3799,1229298,5066,1229298,,115,79,312b9605d1fcc9f3f1a52439eb76ae6978df1eb2,0,0,0,0,0,"
"1027,20210217,KY,391772,89508.0,,,totalTestsViral,3780152,934.0,18289.0,259.0,3834.0,128.0,,46225.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,4336,18289.0,,2021-02-17T00:00:00Z,3780152.0,241502.0,,302264.0,3941.0,395.0,,,110306.0,9225.0,,,,,,,431302.0,34477.0,21,1010,0,391772,6574,391772,,18,106,20bd9514fa0d12fb16350da719d8a552bbc593fd,0,0,0,0,0,"
"1028,20210217,LA,421018,56994.0,4946074.0,,posNeg,5367092,849.0,,,,126.0,,396834.0,2/17/2021 13:00,2021-02-17T13:00:00Z,02/17 08:00,9391,,,2021-02-17T13:00:00Z,5310098.0,,,364024.0,8740.0,651.0,,,,,,,,,,,418034.0,,22,624,20670,5367092,21294,5367092,,66,0,8ce624e667c7d6cbb664508e01b57981c3ffba79,0,0,0,0,0,"
"1029,20210217,MA,561936,28912.0,4249632.0,,totalTestsViral,15140864,1088.0,19176.0,273.0,,179.0,,453740.0,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,15623,19176.0,,2021-02-16T23:59:00Z,15140864.0,637799.0,,533024.0,15312.0,311.0,,4782656.0,,,,151476.0,14572.0,,527202.0,,,,25,1360,6666,4811568,82971,4811568,,56,317,e26ee63d7cfcbd52f8cad5883e4353c3ceb3c48b,0,0,0,0,0,"
"1030,20210217,MD,372980,,2938416.0,,totalTestsViral,7519063,1096.0,34078.0,272.0,,,,9571.0,2/17/2021 10:00,2021-02-17T10:00:00Z,02/17 05:00,7630,34078.0,,2021-02-17T10:00:00Z,7519063.0,454985.0,,372980.0,7449.0,181.0,,3311396.0,,,,193813.0,26456.0,167357.0,,,,,24,759,4835,3311396,23155,3311396,,18,98,eebf269b435786e930bf37842b24652f44262708,0,0,0,0,0,"
"1031,20210217,ME,42872,8752.0,,,totalTestsViral,1498314,91.0,1490.0,25.0,,9.0,,12693.0,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,654,1490.0,,2021-02-16T23:59:00Z,1498314.0,39473.0,,34120.0,640.0,14.0,,,14797.0,781.0,14004.0,,,,,,176916.0,9455.0,23,104,0,42872,10934,42872,,3,3,6b6971b43b92b9b286a3f4c339638b309b2e728c,0,0,0,0,0,"
"1032,20210217,MI,632772,55569.0,,,totalTestsViral,10035426,929.0,,237.0,,116.0,,517991.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,16160,,,2021-02-17T00:00:00Z,10035426.0,731226.0,9304200.0,577203.0,15188.0,972.0,,,512204.0,,,,,,,,,,26,1240,0,632772,28292,632772,,11,0,25fdaac0d5099fc120752ae99405abae449bec8e,0,0,0,0,0,"
"1033,20210217,MN,475379,22055.0,2925345.0,,totalTestEncountersViral,6630126,314.0,25287.0,54.0,5212.0,,,462502.0,2/16/2021 17:00,2021-02-16T17:00:00Z,02/16 12:00,6390,25287.0,,2021-02-16T17:00:00Z,,,,453324.0,6124.0,266.0,6630126.0,3378669.0,,,,,,,,,391083.0,,27,758,4390,3400724,18370,3400724,,10,44,b6440c2721f83b24f24ceb8694bb1461407c04c2,0,0,0,0,0,"
"1034,20210217,MO,472741,,1825761.0,,totalTestsViral,4350392,1279.0,,286.0,,201.0,,,2/17/2021 00:59,2021-02-17T00:59:00Z,02/16 19:59,7470,,,2021-02-17T00:59:00Z,4350392.0,521735.0,3819449.0,472741.0,,,,2298502.0,145644.0,22615.0,122836.0,131050.0,,,321162.0,,763354.0,77843.0,29,598,1901,2298502,7086,2298502,,12,0,7510b7a14f3ac36226e9a6651f38a9818e9dca99,0,0,0,0,0,"
"1035,20210217,MP,135,,17429.0,,posNeg,17564,,4.0,,,,,29.0,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,2,4.0,,2021-02-16T00:00:00Z,26131.0,,,135.0,2.0,,,17542.0,,,,,,,,,,,69,1,0,17564,1,17564,,0,0,4fa52bdf55cc5433bc3c997f6f0d143fbd56de5b,0,0,0,0,0,"
"1036,20210217,MS,289398,109067.0,1393383.0,,posNeg,1682781,587.0,8978.0,168.0,,91.0,,264456.0,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,6524,8978.0,,2021-02-16T00:00:00Z,1573265.0,,,180331.0,4600.0,1924.0,,,79693.0,,,,,,,,712107.0,,28,684,0,1682781,684,1682781,,23,0,fd68833cd16f2ad0434271035301a24e2b7f8efd,0,0,0,0,0,"
"1037,20210217,MT,97900,3008.0,,,totalTestsViral,1029320,91.0,4477.0,23.0,,14.0,,94034.0,2/17/2021 01:59,2021-02-17T01:59:00Z,02/16 20:59,1334,4477.0,,2021-02-17T01:59:00Z,1029320.0,,,94892.0,,,,,,,,,,,,,,,30,234,0,97900,3953,97900,,3,16,c7da86f1c0eb3e28e6ee5998e5c07548c9ba7c6b,0,0,0,0,0,"
"1038,20210217,NC,829507,100731.0,,,totalTestsViral,9058420,1954.0,,446.0,,,,,2/17/2021 12:45,2021-02-17T12:45:00Z,02/17 07:45,10670,,765456.0,2021-02-17T12:45:00Z,9058420.0,,,728776.0,9482.0,1188.0,,,,,,,,,,,669667.0,,37,3167,0,829507,22102,829507,,108,0,6ccb61972964b78007b460e438fcc64232f27b7b,0,0,0,0,0,"
"1039,20210217,ND,98901,4936.0,301563.0,,totalTestEncountersViral,1384149,43.0,3850.0,7.0,560.0,,,96673.0,2/17/2021 01:59,2021-02-17T01:59:00Z,02/16 20:59,1461,3850.0,,2021-02-17T01:59:00Z,1480207.0,,,93965.0,,,1384149.0,400464.0,,,,,,,,,123131.0,,38,120,472,400464,2979,400464,,0,5,be627d31a1df5c814cbee57ce1fd3df516075cb9,0,0,0,0,0,"
"1040,20210217,NE,197746,,753207.0,,totalTestsViral,2279925,185.0,5981.0,,,,,142335.0,2/17/2021 11:30,2021-02-17T11:30:00Z,02/17 06:30,2018,5981.0,,2021-02-17T11:30:00Z,2279925.0,229051.0,2048349.0,,,,,951463.0,,,,,,,,,,,31,299,1520,950953,22132,950953,,14,17,74659312bb099412719b03cf36985d8054c35318,0,0,0,0,0,"
"1041,20210217,NH,71965,21167.0,567204.0,,totalTestsViral,1377103,126.0,1083.0,,338.0,,,67445.0,2/17/2021 09:00,2021-02-17T09:00:00Z,02/17 04:00,1148,1083.0,,2021-02-17T09:00:00Z,1377103.0,,,50797.0,,,,618001.0,38765.0,,,37226.0,,,,,172069.0,,33,750,888,639169,6214,639169,,12,3,a5a2b2aa548bc91dfc30441b2cf901334bda1d1d,0,0,0,0,0,"
"1042,20210217,NJ,755174,82066.0,9409262.0,,posNeg,10164436,2370.0,62718.0,411.0,,309.0,,,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,22632,62718.0,72798.0,2021-02-17T00:00:00Z,10082370.0,,,673108.0,20343.0,2289.0,,,,,,,,,,,,,34,4109,75547,10164436,79656,10164436,,135,127,bee410e47d51f7ee7b4e2947967d64671b8d982c,0,0,0,0,0,"
"1043,20210217,NM,181332,,,,totalTestsViral,2567877,280.0,12790.0,,,,,125064.0,2/17/2021 17:51,2021-02-17T17:51:00Z,02/17 12:51,3562,12790.0,,2021-02-17T17:51:00Z,2567877.0,,,,,,,,,,,,,,,,,,35,272,0,181332,11363,181332,,12,33,90c39a4e424ed2cbc581891bef52893ff9db35bc,0,0,0,0,0,"
"1044,20210217,NV,289392,,1094532.0,,totalTestEncountersViral,2634991,740.0,,176.0,,110.0,,,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,4774,,,2021-02-16T00:00:00Z,,,,289392.0,,,2634991.0,1383924.0,,,,,,,,,,,32,363,3701,1383924,8214,1383924,,41,0,09a3d435871dacc6db363eca5d967da0c95af887,0,0,0,0,0,"
"1045,20210217,NY,1548979,,,,totalTestEncountersViral,35523811,6574.0,,1273.0,,854.0,,,2/16/2021 14:00,2021-02-16T14:00:00Z,02/16 09:00,37440,,139544.0,2021-02-16T14:00:00Z,,,,,,,35523811.0,,,,,,,,,,,,36,6092,0,1548979,169963,1548979,,112,0,d24a4097b921af9ac5b5fa6c982b8d1de185ad4f,0,0,0,0,0,"
"1046,20210217,OH,945107,130575.0,,,totalTestsViral,9671588,1539.0,48888.0,447.0,6974.0,299.0,,872282.0,2/17/2021 14:00,2021-02-17T14:00:00Z,02/17 09:00,16513,48888.0,,2021-02-17T14:00:00Z,9671588.0,843317.0,,814532.0,14046.0,2467.0,,,,,,,,,,,1529612.0,79767.0,39,1816,0,945107,16874,945107,,60,149,188b9273eb84b35ecf4cf60babfb3997a60da22d,0,0,0,0,0,"
"1047,20210217,OK,415858,,2984643.0,207.0,posNeg,3400501,711.0,23392.0,202.0,,,,393169.0,,,,4089,23392.0,,,3374098.0,378721.0,2984643.0,,,,,,142681.0,19845.0,,,,,,,,,40,1078,27038,3400708,28116,3400501,,28,122,075e955ad714751be59cf60254ee06e9aa8229fc,0,0,0,0,0,"
"1048,20210217,OR,150875,,,,totalTestsViral,3419985,231.0,8298.0,53.0,,26.0,,,2/16/2021 03:01,2021-02-16T03:01:00Z,02/15 22:01,2138,8298.0,,2021-02-16T03:01:00Z,3419985.0,197882.0,3222103.0,,,,,,,,,,,,,,,,41,411,0,150875,35282,150875,,1,113,70e79613438d53d09cb6902d6ed35cadd42cf33d,0,0,0,0,0,"
"1049,20210217,PA,902650,123012.0,3791021.0,,totalTestEncountersViral,9945410,2174.0,,465.0,,255.0,,794332.0,2/17/2021 12:00,2021-02-17T12:00:00Z,02/17 07:00,23319,,,2021-02-17T12:00:00Z,,,,779638.0,,,9945410.0,4570659.0,,,,,,,,,,,42,3413,7922,4693671,34524,4693671,,193,0,d488c252e69e8d208af7f068f1dcb95f0a5c157b,0,0,0,0,0,"
"1050,20210217,PR,98428,7439.0,305972.0,,posNeg,404400,241.0,,44.0,,42.0,,88381.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,1930,,,2021-02-17T00:00:00Z,415664.0,20103.0,395291.0,90989.0,1640.0,290.0,,,,76198.0,,,,,,,,,72,111,0,404400,111,404400,,6,0,f13caff2a6f3d14af190a4081e09f3834e2e5144,0,0,0,0,0,"
"1051,20210217,RI,122440,,652800.0,,totalTestEncountersViral,2810326,193.0,8811.0,30.0,,19.0,,,2/17/2021 13:00,2021-02-17T13:00:00Z,02/17 08:00,2352,8811.0,7633.0,2021-02-17T13:00:00Z,,146052.0,2664274.0,,,,2810326.0,775240.0,,,,,,,,,,,44,368,1773,775240,19330,775240,,8,25,452c747c696ca98f9c0f6bcb0284f095c6d50c14,0,0,0,0,0,"
"1052,20210217,SC,492369,62875.0,4237377.0,,posNeg,4729746,1205.0,19572.0,278.0,,162.0,,223251.0,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,8117,19572.0,,2021-02-15T23:59:00Z,4666871.0,552733.0,4114138.0,429494.0,7248.0,869.0,,,128369.0,25408.0,102961.0,,,,,,777701.0,100943.0,45,1916,8899,4729746,10815,4729746,,62,120,022daec9be3b973aa4ed62424dc55f28a8f66022,0,0,0,0,0,"
"1053,20210217,SD,110685,12186.0,304204.0,,totalTestsViral,675610,94.0,6466.0,11.0,,4.0,,106769.0,2/16/2021 14:00,2021-02-16T14:00:00Z,02/16 09:00,1844,6466.0,,2021-02-16T14:00:00Z,675610.0,103695.0,,98499.0,,,,414889.0,,,,,,,,,,,46,92,286,414889,1127,414889,,0,5,1b42c2cdd201c02ae9d95f9a4b936d2babc3c973,0,0,0,0,0,"
"1054,20210217,TN,760303,120696.0,,,totalTestsViral,6634437,1245.0,18120.0,320.0,,173.0,,729629.0,2/17/2021 15:00,2021-02-17T15:00:00Z,02/17 10:00,10985,18120.0,,2021-02-17T15:00:00Z,6634437.0,737650.0,5896787.0,639607.0,8834.0,2151.0,,,,,,,,,,,1265367.0,131976.0,47,780,0,760303,7904,760303,,31,57,6f08b31ab31aeaf2121c53f8881f64c1a79e22bd,0,0,0,0,0,"
"1055,20210217,TX,2571063,339346.0,,,totalTestsViral,18810731,7609.0,,2324.0,,,,2268067.0,2/17/2021 13:35,2021-02-17T13:35:00Z,02/17 08:35,40717,,,2021-02-17T13:35:00Z,18810731.0,2521479.0,,2231717.0,,,,,987853.0,141470.0,,,,,,,2200714.0,188051.0,48,3766,0,2571063,0,2571063,,72,0,7192e733118f182f0125fc14e00ea379bb73adb3,0,0,0,0,0,"
"1056,20210217,UT,363248,,1496497.0,,totalTestsViral,2760128,290.0,14294.0,99.0,2248.0,,784.0,338469.0,2/17/2021 10:11,2021-02-17T10:11:00Z,02/17 05:11,1806,14294.0,,2021-02-17T10:11:00Z,2760128.0,336849.0,2423279.0,,,,,1805277.0,,,,,,,331311.0,53890.0,871265.0,56228.0,49,901,3812,1859745,9213,1859745,,9,55,667d9c27b84fcad4ca43c57a63b45e1d0ffacb4d,0,0,0,0,0,"
"1057,20210217,VA,555592,115918.0,,202.0,totalTestEncountersViral,5653212,1823.0,23179.0,386.0,,239.0,,,2/16/2021 17:00,2021-02-16T17:00:00Z,02/16 12:00,7075,23179.0,44595.0,2021-02-16T17:00:00Z,,536977.0,,439674.0,6080.0,995.0,5653212.0,,216809.0,26169.0,,,,,,,1258454.0,115591.0,51,2284,0,555794,19394,555592,,38,137,cfdae043f45f5dd86c1e1185019a929e432acc47,0,0,0,0,0,"
"1058,20210217,VI,2545,,42724.0,121.0,posNeg,45269,,,,,,,2441.0,2/17/2021 10:01,2021-02-17T10:01:00Z,02/17 05:01,25,,,2021-02-17T10:01:00Z,,,,,,,,45390.0,,,,,,,,,,,78,3,134,45390,137,45269,,0,0,ce08674aa6674adcfa62e3b993add6a332bafa2a,0,0,0,0,0,"
"1059,20210217,VT,13996,397.0,307199.0,,totalTestsViral,987188,46.0,,8.0,,,,11072.0,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,191,,,2021-02-16T23:59:00Z,987188.0,,,13599.0,,,,320798.0,,,,,,,,,,,50,79,1222,321195,9621,321195,,0,0,93155c308e26a186dc73ae366daf421cdb8d4ddf,0,0,0,0,0,"
"1060,20210217,WA,329746,16918.0,,,totalTestEncountersViral,4967466,628.0,18764.0,151.0,,55.0,,,2/16/2021 02:59,2021-02-16T02:59:00Z,02/15 21:59,4709,18764.0,,2021-02-16T02:59:00Z,,312773.0,4654384.0,312828.0,,,4967466.0,,,,,,,,,,,,53,1699,0,329746,71312,329746,,34,121,f66c27e147df46d5c4e3629aaaf4783107970880,0,0,0,0,0,"
"1061,20210217,WI,609189,52200.0,2575026.0,36.0,totalTestEncountersViral,6563379,385.0,25498.0,107.0,2236.0,,,540524.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,6798,25498.0,,2021-02-17T00:00:00Z,,,,556989.0,6214.0,584.0,6563379.0,3132015.0,,,,,,,,,,,55,771,4228,3184251,31540,3184215,,10,76,f86b96b5bcfced93031c8fad122553ffbc779fd6,0,0,0,0,0,"
"1062,20210217,WV,128405,25661.0,,,totalTestsViral,2080039,320.0,,74.0,,32.0,,115658.0,2/16/2021 23:59,2021-02-16T23:59:00Z,02/16 18:59,2225,,,2021-02-16T23:59:00Z,2080039.0,,,102744.0,1898.0,327.0,,,31951.0,,,,,,,,,,54,288,0,128405,8258,128405,,9,0,e8c87b7a91e9278a1c456e976b6cb1cf05206281,0,0,0,0,0,"
"1063,20210217,WY,53450,8012.0,178042.0,,totalTestsViral,615337,32.0,1363.0,,,,,52039.0,2/17/2021 00:00,2021-02-17T00:00:00Z,02/16 19:00,662,1363.0,,2021-02-17T00:00:00Z,615337.0,38213.0,569232.0,45438.0,,,,223480.0,,,,,,,,,,,56,99,227,231492,981,231492,,0,2,999b5fff1a3a8ed66eb779ca41c2bfc58daa6749,0,0,0,0,0,"
"1064,20210216,AK,54736,,,,totalTestsViral,1605827,43.0,1233.0,,,2.0,,,2/16/2021 03:59,2021-02-16T03:59:00Z,02/15 22:59,287,1233.0,,2021-02-16T03:59:00Z,1605827.0,66077.0,1537830.0,,,,,,,,,,,,,,,,02,454,0,54736,21279,54736,,5,3,4382a871d22ec982fc4ac57442e3069916a6fc12,0,0,0,0,0,"
"1065,20210216,AL,482488,104119.0,1857088.0,,totalTestsPeopleViral,2235457,1104.0,44541.0,,2607.0,,1479.0,264621.0,2/16/2021 11:00,2021-02-16T11:00:00Z,02/16 06:00,9257,44541.0,,2021-02-16T11:00:00Z,,,,378369.0,7261.0,1996.0,,2235457.0,,,,113087.0,,,,,,,01,883,3250,2339576,3816,2339576,,13,199,15659c216fd49445ca1ed043d4bcdf64739022ae,0,0,0,0,0,"
"1066,20210216,AR,313525,65080.0,2340563.0,,totalTestsViral,2589008,638.0,14392.0,250.0,,110.0,1480.0,299107.0,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,5287,14392.0,,2021-02-16T00:00:00Z,2589008.0,,2340563.0,248445.0,4233.0,1054.0,,,,,,,,,414291.0,76422.0,,,05,177,1608,2654088,1702,2654088,,12,37,0ab8392fec9fdeb3b300899fe9c6d996874457a5,0,0,0,0,0,"
"1067,20210216,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,b2f29af3602f3ef09e69bfd1a12780b3c0faaa3d,0,0,0,0,0,"
"1068,20210216,AZ,799740,53590.0,2896644.0,,totalTestsViral,7261560,2047.0,55865.0,601.0,,383.0,,,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,14981,55865.0,112430.0,2021-02-16T00:00:00Z,7261560.0,,,746150.0,13253.0,1728.0,,3642794.0,557794.0,,,429909.0,,,,,,,04,1132,5017,3696384,18492,3696384,,3,88,b744b0ac792649ecc2da42d598f388fcd6ad2a0a,0,0,0,0,0,"
"1069,20210216,CA,3412057,,,,totalTestsViral,46227725,9075.0,,2604.0,,,,,2/16/2021 02:59,2021-02-16T02:59:00Z,02/15 21:59,47107,,,2021-02-16T02:59:00Z,46227725.0,,,3412057.0,,,,,,,,,,,,,,,06,5692,0,3412057,263598,3412057,,64,0,c2bbb3f210b244f4ffb60dc7f235a2b295304eba,0,0,0,0,0,"
"1070,20210216,CO,415037,21949.0,2112499.0,,totalTestEncountersViral,5869369,441.0,22837.0,,,,,,2/16/2021 01:59,2021-02-16T01:59:00Z,02/15 20:59,5828,22837.0,22017.0,2021-02-16T01:59:00Z,,,,393088.0,5108.0,720.0,5869369.0,2505587.0,380640.0,52311.0,326436.0,,,,,,,,08,668,1828,2527536,8056,2527536,,2,25,9059139d982520db3d0172fcf281c48c80e12f8f,0,0,0,0,0,"
"1071,20210216,CT,270822,16628.0,,,totalTestsViral,6004931,606.0,,,,,,,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,7449,,,2021-02-15T23:59:00Z,6004931.0,309330.0,5688069.0,254194.0,6106.0,1343.0,,,,,,,,,,,309117.0,17701.0,09,580,0,270822,18312,270822,,2,0,a7a17d1871c2d100987ffd8c17d4d8728bc769d3,0,0,0,0,0,"
"1072,20210216,DC,39131,,,,totalTestEncountersViral,1172768,204.0,,52.0,,21.0,,27930.0,2/15/2021 00:00,2021-02-15T00:00:00Z,02/14 19:00,982,,,2021-02-15T00:00:00Z,,,,,,,1172768.0,425331.0,,,,,,,,,,,11,130,0,39131,0,39131,,2,0,681b1947b83946fe3b29eb6046e330b8b8e76dae,0,0,0,0,0,"
"1073,20210216,DE,83369,4298.0,526389.0,,totalTestEncountersViral,1327849,186.0,,17.0,,,,,2/15/2021 18:00,2021-02-15T18:00:00Z,02/15 13:00,1291,,,2021-02-15T18:00:00Z,,87082.0,,79071.0,1168.0,123.0,1327849.0,609758.0,,,,,,,,,,,10,130,305,609758,4758,609758,,8,0,c35375b2695dd38afb7237230afac88a8c916eec,0,0,0,0,0,"
"1074,20210216,FL,1803893,329510.0,8881123.0,7939.0,totalTestEncountersViral,20666077,4646.0,77686.0,,,,,,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,29659,77686.0,,2021-02-15T23:59:00Z,18222942.0,2360095.0,15776618.0,1474383.0,,,20666077.0,10685016.0,969396.0,154948.0,813960.0,922278.0,145802.0,776136.0,,,,,12,6165,25432,10692955,90631,10685016,,225,314,59edaa9a3e675dc3447e8442fa3310147298cc62,0,0,0,0,0,"
"1075,20210216,GA,969702,175353.0,,,totalTestsViral,6895381,3119.0,53658.0,,8801.0,,,,2/16/2021 14:50,2021-02-16T14:50:00Z,02/16 09:50,16174,53658.0,,2021-02-16T14:50:00Z,6895381.0,767461.0,,794349.0,14176.0,1998.0,,,463685.0,69353.0,,,,,,,,,13,2895,0,969702,24704,969702,,246,255,68ea7e6f5619e4765cd8339ae95b5469fb972044,0,0,0,0,0,"
"1076,20210216,GU,7701,208.0,105753.0,,posNeg,113454,6.0,,2.0,,2.0,,7500.0,2/16/2021 06:00,2021-02-16T06:00:00Z,02/16 01:00,130,,,2021-02-16T06:00:00Z,113246.0,,,7493.0,,,,,348.0,23.0,,,,,,,8837.0,247.0,66,2,537,113454,539,113454,,0,0,7940727542cd92f9492576d4946c2db6ac229101,0,0,0,0,0,"
"1077,20210216,HI,27623,717.0,,,totalTestEncountersViral,1039472,38.0,2174.0,14.0,,9.0,,,2/14/2021 14:30,2021-02-14T14:30:00Z,02/14 09:30,426,2174.0,,2021-02-14T14:30:00Z,,26433.0,,26906.0,426.0,,1039472.0,,,,,,,,,,,,15,17,0,27623,459,27623,,0,25,427a08cce174b8b98109cb631e8d576b099ac519,0,0,0,0,0,"
"1078,20210216,IA,275247,,1015686.0,,posNeg,1290933,255.0,,57.0,,25.0,,303697.0,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,5263,,,2021-02-16T00:00:00Z,2622302.0,298412.0,2309877.0,275247.0,,,,1293305.0,,,,108656.0,16712.0,91894.0,232344.0,54662.0,1260611.0,58034.0,19,292,8318,1290933,8610,1290933,,26,0,85090064fb3d816e0f2cb30106ef2f7eb7259c3b,0,0,0,0,0,"
"1079,20210216,ID,167483,31334.0,486204.0,,totalTestsPeopleViral,622353,180.0,6890.0,45.0,1206.0,,,89410.0,2/14/2021 19:00,2021-02-14T19:00:00Z,02/14 14:00,1803,6890.0,,2021-02-14T19:00:00Z,1035119.0,,,136149.0,1587.0,216.0,,622353.0,,,,,,,,,78973.0,,16,0,0,653687,0,653687,,0,0,786e02ff47be8fe4ca2f8e34dae4fb2fcb40d692,0,0,0,0,0,"
"1080,20210216,IL,1164922,,,,totalTestsViral,17270877,1726.0,,385.0,,179.0,,,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,22199,,,2021-02-16T00:00:00Z,17270877.0,,,,20034.0,2165.0,,,,,,,,,,,,,17,1348,0,1164922,46630,1164922,,33,0,ec9c68e8daf5049aaf98c1b84655443308f9b9dd,0,0,0,0,0,"
"1081,20210216,IN,650530,,2406968.0,,totalTestsViral,7593841,1018.0,41840.0,201.0,7312.0,107.0,,,2/15/2021 23:59,2021-02-15T23:59:00Z,02/15 18:59,12231,41840.0,424155.0,2021-02-15T23:59:00Z,7593841.0,740557.0,,,11805.0,426.0,,3057498.0,,,,,,,,,,,18,878,2691,3057498,20208,3057498,,40,194,1940ede3b81f3d9f378d121c1435f3b313be0eda,0,0,0,0,0,"
"1082,20210216,KS,287450,,936782.0,,posNeg,1224232,279.0,8923.0,77.0,2421.0,38.0,411.0,,2/15/2021 10:00,2021-02-15T10:00:00Z,02/15 05:00,4406,8923.0,6087.0,2021-02-15T10:00:00Z,2364665.0,,,,,,,1224232.0,,,,,,,,,534602.0,,20,0,0,1224232,0,1224232,,0,0,4ec5e5283abda2a790afb3f172b3b66ec0d4bd27,0,0,0,0,0,"
"1083,20210216,KY,390762,89116.0,,,totalTestsViral,3773578,935.0,18183.0,272.0,3814.0,133.0,,46074.0,2/16/2021 00:00,2021-02-16T00:00:00Z,02/15 19:00,4318,18183.0,,2021-02-16T00:00:00Z,3773578.0,241069.0,,301646.0,3925.0,393.0,,,110221.0,9187.0,,,,,,,427460.0,34431.0,21,1241,0,390762,2665,390762,,27,97,7e566cc66b7738998983a9ea5aa3b5254b37a64d,0,0,0,0,0,"
"1084,20210216,LA,420394,56925.0,4925404.0,,posNeg,5345798,849.0,,,,137.0,,380673.0,2/15/2021 13:00,2021-02-15T13:00:00Z,02/15 08:00,9325,,,2021-02-15T13:00:00Z,5288873.0,,,363469.0,8691.0,634.0,,,,,,,,,,,416361.0,,22,0,0,5345798,0,5345798,,0,0,d38abe1012bfa9ad27c726f556a4d21ba756669f,0,0,0,0,0,"
